(mpi)

PROCESSES          8 on Quasar
NUM_GENERATIONS    2000
N                  2048
BOARD              2048/8 -> 256

generation,cells count,elapsed time (ms)
1149,173175,13.0067
1150,173105,12.0907
1151,172827,10.601
1152,173153,12.8992
1153,173143,15.5723
1154,173049,15.5375
1155,173224,19.7444
1156,173219,12.2523
1157,173178,12.6073
1158,173152,10.4363
1159,173064,12.2128
1160,172977,12.7642
1161,172817,11.1711
1162,172668,13.1006
1163,172724,13.5601
1164,172717,11.9014
1165,172367,13.3152
1166,172306,11.2813
1167,172430,12.9557
1168,172873,11.8093
1169,172761,10.1805
1170,172895,12.2876
1171,172376,12.9523
1172,172679,14.0402
1173,172231,10.2758
1174,172830,12.4454
1175,172326,13.4089
1176,172726,14.8611
1177,172318,10.5741
1178,172530,12.0406
1179,172069,14.2553
1180,172645,12.372
1181,171970,10.8955
1182,172465,12.876
1183,172237,12.5329
1184,172606,11.7011
1185,172210,12.1412
1186,172224,15.275
1187,171826,12.5365
1188,171851,12.5337
1189,172078,14.6081
1190,172215,10.9868
1191,172534,12.4207
1192,172333,12.6581
1193,172274,10.4637
1194,171886,12.4578
1195,171948,12.5394
1196,171557,10.2985
1197,171965,12.6362
1198,171485,13.644
1199,171947,12.696
1200,171563,13.8359
1201,171427,10.3118
1202,171330,14.2109
1203,171566,12.3198
1204,171388,12.4042
1205,171429,10.8044
1206,171354,12.7411
1207,171238,13.0754
1208,171312,12.9044
1209,171204,10.4604
1210,171638,13.2015
1211,171094,18.2776
1212,171292,12.6169
1213,171299,12.8624
1214,171817,10.8118
1215,171113,14.0233
1216,171545,11.946
1217,171263,12.2836
1218,171271,10.3719
1219,171307,12.1112
1220,171504,11.9708
1221,170801,10.2117
1222,171025,11.9934
1223,170642,15.1751
1224,170749,15.2023
1225,170475,13.3195
1226,170515,10.4644
1227,170145,13.3243
1228,170290,13.9718
1229,170059,13.1719
1230,169981,10.6449
1231,169970,13.4368
1232,169925,11.8544
1233,169531,13.1702
1234,169716,16.3188
1235,169709,19.7194
1236,169673,14.6894
1237,169910,10.8414
1238,170266,12.6078
1239,170067,15.6
1240,170319,15.8424
1241,170299,12.6605
1242,169920,10.3774
1243,169943,13.0315
1244,169772,12.7327
1245,169809,12.9478
1246,169329,10.9117
1247,169714,16.0608
1248,169317,15.018
1249,169190,12.8877
1250,169042,12.7459
1251,168894,10.3168
1252,169501,12.8288
1253,169321,13.6497
1254,169260,13.4239
1255,169182,15.312
1256,169019,11.9226
1257,169167,12.5928
1258,169247,13.0348
1259,168932,14.612
1260,169038,12.8865
1261,169010,10.4549
1262,169090,12.2023
1263,169059,12.1784
1264,168885,10.2406
1265,168837,13.6309
1266,168972,14.2872
1267,168635,12.9521
1268,168671,10.5898
1269,168422,12.9638
1270,168698,12.7544
1271,168424,11.611
1272,168183,10.6285
1273,168043,11.2081
1274,167737,11.6484
1275,167486,11.5578
1276,167435,10.9911
1277,167532,11.1175
1278,167343,10.7889
1279,167427,11.7223
1280,166987,10.9766
1281,167148,12.342
1282,167425,10.9742
1283,167377,12.0931
1284,167289,10.673
1285,167379,11.0059
1286,167596,11.1971
1287,167391,13.2117
1288,167134,10.8185
1289,166997,11.1551
1290,167007,11.2298
1291,167046,16.4304
1292,166730,10.4518
1293,166581,12.1384
1294,166642,14.4618
1295,166331,12.5635
1296,166271,14.6356
1297,166392,10.7789
1298,166331,11.4689
1299,166476,12.2485
1300,166481,10.9837
1301,166087,12.336
1302,166560,11.5771
1303,166583,13.2923
1304,166698,13.7281
1305,166561,11.1167
1306,166745,13.7961
1307,166650,10.8008
1308,166521,11.1527
1309,166608,11.2717
1310,166738,10.4132
1311,166641,13.768
1312,166536,11.4064
1313,166222,11.6537
1314,165974,10.3414
1315,166571,11.3204
1316,166482,10.8244
1317,166873,10.1926
1318,166733,18.6057
1319,166863,10.8888
1320,166953,12.6143
1321,166959,10.6044
1322,166978,12.7566
1323,167136,11.3907
1324,167334,11.0621
1325,166908,12.0182
1326,166643,11.1101
1327,166516,10.3631
1328,166345,11.0092
1329,166371,11.4539
1330,166117,11.1926
1331,166290,13.5915
1332,166003,11.1234
1333,165702,11.2243
1334,165502,10.2808
1335,165333,10.9284
1336,165592,11.0469
1337,165578,11.5173
1338,165554,11.9469
1339,165517,12.8627
1340,165436,10.3486
